track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0,255506,False,0.667,0.717,1,-5.21,0,0.0349,0.193,0.0,0.104,0.495,108.006,4,electro,4.26,Media,Alta,Neutral,Popularidad Baja,Mucha_Duración,2010,Best R&B Song,Shine,,1
7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0,255506,False,0.667,0.717,1,-5.21,0,0.0349,0.193,0.0,0.104,0.495,108.006,4,electro,4.26,Media,Alta,Neutral,Popularidad Baja,Mucha_Duración,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
5LI5DHVYrtMKJQaedaUhTS,Broken Back,Shine,Shine,63,171870,False,0.683,0.758,7,-7.29,1,0.163,0.284,0.0,0.312,0.686,95.956,4,french,2.86,Media,Alta,Neutral,Popularidad Alta,Poca_Duración,2010,Best R&B Song,Shine,,1
5LI5DHVYrtMKJQaedaUhTS,Broken Back,Shine,Shine,63,171870,False,0.683,0.758,7,-7.29,1,0.163,0.284,0.0,0.312,0.686,95.956,4,french,2.86,Media,Alta,Neutral,Popularidad Alta,Poca_Duración,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
0LzuGVHfi9UgLLJLfraGd5,The Smith Street Band,More Scared Of You Than You Are Of Me,Shine,31,226426,True,0.255,0.956,11,-3.913,1,0.128,0.0856,0.000642,0.157,0.37,146.678,4,garage,3.77,Baja,Alta,Neutral,Popularidad Media,Duración_Media,2010,Best R&B Song,Shine,,1
0LzuGVHfi9UgLLJLfraGd5,The Smith Street Band,More Scared Of You Than You Are Of Me,Shine,31,226426,True,0.255,0.956,11,-3.913,1,0.128,0.0856,0.000642,0.157,0.37,146.678,4,garage,3.77,Baja,Alta,Neutral,Popularidad Media,Duración_Media,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
77YKoNCjP5hWqiXMRG2839,Collective Soul,"Hints, Allegations & Things Left Unsaid",Shine,70,306040,False,0.543,0.423,6,-8.797,1,0.0282,0.295,0.0862,0.152,0.355,150.132,4,grunge,5.1,Media,Media,Neutral,Popularidad Alta,Mucha_Duración,2010,Best R&B Song,Shine,,1
77YKoNCjP5hWqiXMRG2839,Collective Soul,"Hints, Allegations & Things Left Unsaid",Shine,70,306040,False,0.543,0.423,6,-8.797,1,0.0282,0.295,0.0862,0.152,0.355,150.132,4,grunge,5.1,Media,Media,Neutral,Popularidad Alta,Mucha_Duración,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
7hzfrKYkRfPUIiagwhBtZS,Mr. Big,Actual Size,Shine,47,222973,False,0.592,0.738,8,-6.625,1,0.0279,5.56e-05,9.33e-06,0.0365,0.754,116.019,4,hard-rock,3.72,Media,Alta,Positiva,Popularidad Media,Duración_Media,2010,Best R&B Song,Shine,,1
7hzfrKYkRfPUIiagwhBtZS,Mr. Big,Actual Size,Shine,47,222973,False,0.592,0.738,8,-6.625,1,0.0279,5.56e-05,9.33e-06,0.0365,0.754,116.019,4,hard-rock,3.72,Media,Alta,Positiva,Popularidad Media,Duración_Media,2001,Best Female Country Vocal Performance,Shine,Dolly Parton,1
